# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-03-15 at 11:30:03
#
# Requested input R.A. = 206.412800 degrees
# Requested input Dec. = -16.446197 degrees
# Requested JD start = 2461082.01859 days
# Requested JD end = 2461113.68396 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 323 10 2 ZTF_i 3331416303815 0 1.6641 388.221 8.44547 25.7411 1.779e-06 0.0208023 0.186562 1.11053e-05 781 30. 0.112198 0.090614 19.7487 25.7411 1 2461085.9163079 323120338 1 15.5336051971809 32.4725429311481 0.53212144819027 0.676389717198595 12.9070543594619 65.4475978060781 0.198540275713104 1.03207379092021 null null null null null 2459205.041435 2459624.959201 56,57
 1 323 10 2 ZTF_r 3331480593815 0 1.8359 669.459 8.18737 26.2789 4.0031e-06 0.0212924 0.111273 7.36453e-06 772 30. 0.106001 0.080528 20.1462 26.2789 1 2461085.9805903 323120238 1 14.8300310589033 33.1720763983359 0.497306579090724 0.935024236392447 -48.8065800804673 62.862909961248 -0.781626164548871 1.04094320697911 null null null null null 2458198.857917 2458465.065532 57
 2 323 10 2 ZTF_i 3340394103815 0 1.8426 388.422 6.91932 25.7481 1.5298e-06 0.019457 0.195574 9.36456e-06 783 30. 0.114379 0.091741 19.8436 25.7481 1 2461094.8941088 323120338 1 16.848748560836 27.5435143833219 0.680460778281993 0.773862418177286 -0.281246462631469 53.8893700535518 -0.0052541099192181 1.03216880108469 null null null null null 2459205.041435 2459624.959201 56,57
 3 323 10 2 ZTF_i 3341414103815 0 1.7735 344.081 6.9488 25.6085 3.728e-06 0.0302677 0.196888 2.3003e-05 782 30. 0.114448 0.093288 19.7719 25.6085 1 2461095.9141088 323120338 1 -1.94928832625707 26.7859686769792 -0.0809512438727543 0.70347564164306 11.2652153002934 52.8069740400499 0.214764950646154 1.03562975265331 null null null null null 2459205.041435 2459624.959201 56,57
 4 323 10 2 ZTF_g 3342380633815 0 3.5401 169.081 10.1435 26.1755 2.61092e-05 0.0421079 -0.02626 6.36347e-05 545 30. 0.127554 0.105992 19.3577 26.1755 1 2461096.8806366 323120138 1 -9.63049526839651 66.8588774800022 -0.160230188098813 0.948831532979224 21.5341860449578 89.6228687135841 0.241893841807499 1.12611749399837 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
 5 323 10 2 ZTF_r 3342479453815 0 2.4256 618.506 9.44195 26.2163 5.3473e-06 0.0247045 0.109141 9.87966e-06 777 30. 0.112195 0.086402 19.7568 26.2163 1 2461096.979456 323120238 1 1.2281240354061 44.192937003944 0.0309132144655205 1.18242692379078 -69.1174587709725 75.0821798055721 -0.926757441148474 1.05410350451816 null null null null null 2458198.857917 2458465.065532 57
 6 323 10 2 ZTF_r 3343437003815 0 2.3063 583.284 11.4801 26.1486 7.1869e-06 0.0285968 0.111729 1.33273e-05 779 30. 0.111903 0.089139 19.5491 26.1486 1 2461097.9370023 323120238 1 -32.0315603998561 51.6707171331851 -0.689585955104637 0.964348956384078 54.1810158455499 89.8178615287545 0.607294887410641 1.0497013608707 null null null null null 2458198.857917 2458465.065532 57
 7 323 10 2 ZTF_g 3343481633815 0 2.9871 177.907 6.89831 26.2257 1.32913e-05 0.0373225 -0.0350976 2.69435e-05 737 30. 0.114081 0.092403 19.9627 26.2257 1 2461097.9816319 323120138 1 -43.3846018796955 38.4466134916973 -1.25525605768149 1.02893153112667 -94.3130482451157 57.2112939952802 -1.65960679126 1.08631851746483 4.47823152697207 22.6089999198914 0.319000005722046 0.460999995470047 -0.398999989032745 2458204.842546 2458540.917766 0
 8 323 10 2 ZTF_i 3345394143815 0 2.2406 362.764 10.2381 25.6646 2.7414e-06 0.0258327 0.188744 1.71377e-05 784 30. 0.120337 0.095957 19.253 25.6646 1 2461099.8941435 323120338 1 9.23359420982749 47.4197149635255 0.216604086861308 0.798165878266375 -7.90602763706331 82.8918497282766 -0.0960199973117066 1.0558868867349 null null null null null 2459205.041435 2459624.959201 56,57
